"lake_name","x_null","y_null","elev","area","depth","LID","region","geomorphic_type","max_depth","depth_measurement","data_quality","area_ha"
"Okareka",335.968,-38.72,355.3,3359680,0,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.968
"Okareka",335.968,-38.72,355.1,3359672.73,-0.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.967273
"Okareka",335.968,-38.72,354.9,3359669.12,-0.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.966912
"Okareka",335.968,-38.72,354.7,3359665.92,-0.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.966592
"Okareka",335.968,-38.72,354.5,3359658.88,-0.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.965888
"Okareka",335.968,-38.72,354.3,3359646.08,-1,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.964608
"Okareka",335.968,-38.72,354.1,3359633.28,-1.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.963328
"Okareka",335.968,-38.72,353.9,3359601.76,-1.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.960176
"Okareka",335.968,-38.72,353.7,3359568.16,-1.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.956816
"Okareka",335.968,-38.72,353.5,3357621.6,-1.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.76216
"Okareka",335.968,-38.72,353.3,3352805.6,-2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.28056
"Okareka",335.968,-38.72,353.1,3347989.6,-2.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",334.79896
"Okareka",335.968,-38.72,352.9,3336834.72,-2.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",333.683472
"Okareka",335.968,-38.72,352.7,3324975.52,-2.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",332.497552
"Okareka",335.968,-38.72,352.5,3308230.56,-2.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",330.823056
"Okareka",335.968,-38.72,352.3,3284156.96,-3,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",328.415696
"Okareka",335.968,-38.72,352.1,3260083.36,-3.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",326.008336
"Okareka",335.968,-38.72,351.9,3232576.8,-3.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",323.25768
"Okareka",335.968,-38.72,351.7,3204688.8,-3.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",320.46888
"Okareka",335.968,-38.72,351.5,3179744.8,-3.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",317.97448
"Okareka",335.968,-38.72,351.3,3159216.8,-4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",315.92168
"Okareka",335.968,-38.72,351.1,3138688.8,-4.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",313.86888
"Okareka",335.968,-38.72,350.9,3119455.36,-4.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",311.945536
"Okareka",335.968,-38.72,350.7,3100365.76,-4.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",310.036576
"Okareka",335.968,-38.72,350.5,3081368.96,-4.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",308.136896
"Okareka",335.968,-38.72,350.3,3062511.36,-5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",306.251136
"Okareka",335.968,-38.72,349.8,3014849.92,-5.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",301.484992
"Okareka",335.968,-38.72,349.3,2961918.88,-6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",296.191888
"Okareka",335.968,-38.72,348.8,2906927.52,-6.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",290.692752
"Okareka",335.968,-38.72,348.3,2860953.44,-7,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",286.095344
"Okareka",335.968,-38.72,347.8,2822359.52,-7.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",282.235952
"Okareka",335.968,-38.72,347.3,2784737.28,-8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",278.473728
"Okareka",335.968,-38.72,346.8,2746330.88,-8.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",274.633088
"Okareka",335.968,-38.72,346.3,2707385.6,-9,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",270.73856
"Okareka",335.968,-38.72,345.8,2668571.04,-9.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",266.857104
"Okareka",335.968,-38.72,345.3,2630762.24,-10,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",263.076224
"Okareka",335.968,-38.72,344.8,2594456.96,-10.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",259.445696
"Okareka",335.968,-38.72,344.3,2559104.48,-11,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",255.910448
"Okareka",335.968,-38.72,343.8,2524034.88,-11.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",252.403488
"Okareka",335.968,-38.72,343.3,2489460,-12,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",248.946
"Okareka",335.968,-38.72,342.8,2456711.52,-12.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",245.671152
"Okareka",335.968,-38.72,342.3,2425871.84,-13,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",242.587184
"Okareka",335.968,-38.72,341.8,2395476.8,-13.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",239.54768
"Okareka",335.968,-38.72,341.3,2364166.08,-14,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",236.416608
"Okareka",335.968,-38.72,340.8,2331694.24,-14.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",233.169424
"Okareka",335.968,-38.72,340.3,2298153.12,-15,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",229.815312
"Okareka",335.968,-38.72,339.8,2264053.6,-15.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",226.40536
"Okareka",335.968,-38.72,339.3,2229895.68,-16,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",222.989568
"Okareka",335.968,-38.72,338.8,2195665.44,-16.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",219.566544
"Okareka",335.968,-38.72,338.3,2161703.04,-17,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",216.170304
"Okareka",335.968,-38.72,337.8,2128323.04,-17.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",212.832304
"Okareka",335.968,-38.72,337.3,2095182.4,-18,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",209.51824
"Okareka",335.968,-38.72,336.8,2062465.92,-18.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",206.246592
"Okareka",335.968,-38.72,336.3,2028644.16,-19,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",202.864416
"Okareka",335.968,-38.72,335.8,1993084.32,-19.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",199.308432
"Okareka",335.968,-38.72,335.3,1957204.16,-20,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",195.720416
"Okareka",335.968,-38.72,334.3,1885203.68,-21,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",188.520368
"Okareka",335.968,-38.72,333.3,1803181.44,-22,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",180.318144
"Okareka",335.968,-38.72,332.3,1732785.6,-23,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",173.27856
"Okareka",335.968,-38.72,331.3,1668072.48,-24,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",166.807248
"Okareka",335.968,-38.72,330.3,1606345.12,-25,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",160.634512
"Okareka",335.968,-38.72,329.3,1548863.2,-26,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",154.88632
"Okareka",335.968,-38.72,328.3,1487791.52,-27,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",148.779152
"Okareka",335.968,-38.72,327.3,1411679.2,-28,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",141.16792
"Okareka",335.968,-38.72,326.3,1308545.6,-29,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",130.85456
"Okareka",335.968,-38.72,325.3,1202847.68,-30,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",120.284768
"Okareka",335.968,-38.72,324.3,1104676.16,-31,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",110.467616
"Okareka",335.968,-38.72,323.3,953840,-32,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",95.384
"Okareka",335.968,-38.72,322.3,719348.8,-33,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",71.93488
"Okareka",335.968,-38.72,321.3,446522.72,-34,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",44.652272
"Okareka",335.968,-38.72,320.3,252903.04,-35,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",25.290304
"Okareka",335.968,-38.72,319.3,145163.84,-36,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",14.516384
"Okareka",335.968,-38.72,318.3,78068,-37,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",7.8068
"Okareka",335.968,-38.72,317.3,29916.64,-38,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",2.991664
"Okareka",335.968,-38.72,316.58,0,-38.72,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",0
"Okaro",30.4156,-20.54,411.35,304156,0,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.4156
"Okaro",30.4156,-20.54,411.15,304088.6,-0.2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.40886
"Okaro",30.4156,-20.54,410.95,304016.6,-0.4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.40166
"Okaro",30.4156,-20.54,410.75,303945.64,-0.6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.394564
"Okaro",30.4156,-20.54,410.55,303876.84,-0.8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.387684
"Okaro",30.4156,-20.54,410.35,303808.04,-1,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.380804
"Okaro",30.4156,-20.54,410.15,301388.32,-1.2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",30.138832
"Okaro",30.4156,-20.54,409.95,298469.92,-1.4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",29.846992
"Okaro",30.4156,-20.54,409.75,295689.84,-1.6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",29.568984
"Okaro",30.4156,-20.54,409.55,293197.04,-1.8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",29.319704
"Okaro",30.4156,-20.54,409.35,290704.24,-2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",29.070424
"Okaro",30.4156,-20.54,409.15,288429.24,-2.2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",28.842924
"Okaro",30.4156,-20.54,408.95,286200.44,-2.4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",28.620044
"Okaro",30.4156,-20.54,408.75,283933.16,-2.6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",28.393316
"Okaro",30.4156,-20.54,408.55,281585.96,-2.8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",28.158596
"Okaro",30.4156,-20.54,408.35,279238.76,-3,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",27.923876
"Okaro",30.4156,-20.54,408.15,276747.68,-3.2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",27.674768
"Okaro",30.4156,-20.54,407.95,274226.08,-3.4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",27.422608
"Okaro",30.4156,-20.54,407.75,271764.28,-3.6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",27.176428
"Okaro",30.4156,-20.54,407.55,269426.68,-3.8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",26.942668
"Okaro",30.4156,-20.54,407.35,267089.08,-4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",26.708908
"Okaro",30.4156,-20.54,407.15,264899.32,-4.2,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",26.489932
"Okaro",30.4156,-20.54,406.95,262740.92,-4.4,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",26.274092
"Okaro",30.4156,-20.54,406.75,260662.08,-4.6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",26.066208
"Okaro",30.4156,-20.54,406.55,258748.48,-4.8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",25.874848
"Okaro",30.4156,-20.54,406.35,256834.88,-5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",25.683488
"Okaro",30.4156,-20.54,405.85,252668.4,-5.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",25.26684
"Okaro",30.4156,-20.54,405.35,248972.48,-6,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",24.897248
"Okaro",30.4156,-20.54,404.85,245635.84,-6.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",24.563584
"Okaro",30.4156,-20.54,404.35,242424.28,-7,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",24.242428
"Okaro",30.4156,-20.54,403.85,239357.92,-7.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",23.935792
"Okaro",30.4156,-20.54,403.35,236435.84,-8,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",23.643584
"Okaro",30.4156,-20.54,402.85,233523.84,-8.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",23.352384
"Okaro",30.4156,-20.54,402.35,230716,-9,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",23.0716
"Okaro",30.4156,-20.54,401.85,227785.8,-9.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",22.77858
"Okaro",30.4156,-20.54,401.35,224790,-10,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",22.479
"Okaro",30.4156,-20.54,400.85,221168.76,-10.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",22.116876
"Okaro",30.4156,-20.54,400.35,215212.96,-11,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",21.521296
"Okaro",30.4156,-20.54,399.85,205216.16,-11.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",20.521616
"Okaro",30.4156,-20.54,399.35,191446.24,-12,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",19.144624
"Okaro",30.4156,-20.54,398.85,173887.68,-12.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",17.388768
"Okaro",30.4156,-20.54,398.35,162718.76,-13,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",16.271876
"Okaro",30.4156,-20.54,397.85,154944.92,-13.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",15.494492
"Okaro",30.4156,-20.54,397.35,148073.4,-14,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",14.80734
"Okaro",30.4156,-20.54,396.85,141461.72,-14.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",14.146172
"Okaro",30.4156,-20.54,396.35,134556.96,-15,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",13.455696
"Okaro",30.4156,-20.54,395.85,126639.44,-15.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",12.663944
"Okaro",30.4156,-20.54,395.35,111906.8,-16,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",11.19068
"Okaro",30.4156,-20.54,394.85,57658.88,-16.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",5.765888
"Okaro",30.4156,-20.54,394.35,25491.88,-17,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",2.549188
"Okaro",30.4156,-20.54,393.85,15303.32,-17.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",1.530332
"Okaro",30.4156,-20.54,393.35,11794.4,-18,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",1.17944
"Okaro",30.4156,-20.54,392.85,9518.84,-18.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",0.951884
"Okaro",30.4156,-20.54,392.35,6890.2,-19,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",0.68902
"Okaro",30.4156,-20.54,391.85,3579.2,-19.5,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",0.35792
"Okaro",30.4156,-20.54,391.35,1108.28,-20,"LID14290","Bay of Plenty","Volcanic",19.94,"Measured","Seasonal but Detailed",0.110828
